Date,full,no_pods,hmm_only,no_decay,no_bandit_a,no_bandit_b,no_bandit_c,buy_and_hold,static_40,benchmark_spx
2015-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2015-01-05,99299.41658390881,99142.32257187196,99227.50462367265,99299.41658390881,99299.41658390881,99239.4969001894,99282.7176340379,98785.8122003531,99506.23113504391,98750.64576852597
2015-01-06,99006.63258870238,98548.03464510747,98763.68110700436,99006.63258870238,99006.63258870238,98836.93819418528,98928.73881652279,97816.62467012166,99154.71821754053,97820.53009750546
2015-01-07,100326.80730105069,99526.33707856739,99996.55318631491,100326.80730105069,100326.80730105069,100069.33771950314,100246.36400323149,98947.39122447986,99720.78995682765,99039.50504947078
2015-01-08,101881.3737888915,101023.77215924258,101600.88977171587,101881.3737888915,101881.3737888915,101550.69562812726,101798.31867013586,100804.21003307625,100571.10205288974,100796.96897342098
2015-01-09,100997.85448577079,100239.23662761324,100729.33157723889,100997.85448577079,100997.85448577079,100661.80341357435,100906.3948081402,99828.8164703607,100121.13561165957,99989.19029922664
2015-01-12,101111.7265070317,100034.25643770021,100803.83721887245,101111.7265070317,101111.7265070317,100724.34883937068,101000.72786450238,99452.41857137218,100023.12236490592,99205.91881466855
2015-01-13,100853.09615036238,99923.21053921597,100520.36001122062,100853.09615036238,100853.09615036238,100453.27141711542,100734.44179543803,99373.86659350025,99985.54648094304,98926.89858255185
2015-01-14,99516.48767602278,99072.76229159837,99105.92783368498,99516.48767602278,99516.48767602278,99107.13609492326,99311.61124922079,98149.1273962715,99573.36111138437,98329.62852841365
2015-01-15,99516.46501704362,98703.51938644395,99114.76257509796,99516.46501704362,99516.46501704362,99104.1818035973,99232.38982446997,97236.72864566614,99330.74296063579,97428.86722549617
2015-01-16,99706.59818291926,99250.11799168965,99277.23986930975,99706.59818291926,99706.59818291926,99295.29365626792,99440.6687608804,98273.49967897405,99635.77894911615,98706.60517312802
2015-01-20,99789.06848682826,99337.34983477267,99321.17049312158,99789.06848682826,99779.96838489777,99329.4718589019,99518.70664064845,97850.40875487548,99499.28129511428,98917.07762021053
2015-01-21,100378.98881998938,99873.69734840075,99977.09602626294,100378.98881998938,100360.68391275895,99880.95043753271,100127.50156184591,98471.8819763408,99788.3888187061,99416.4364779681
2015-01-22,101034.00788899933,100727.68949445132,100624.86507253426,101034.00788899933,101065.10026472234,100659.67787761979,100770.56770928754,100046.07079091486,100386.9703544899,100894.8711265582
2015-01-23,100950.872615826,100597.39257075248,100616.81101413783,100950.872615826,100980.07787812997,100582.44969176746,100683.7129706893,99549.53215855567,100179.50784275815,100341.66879754818
