sweep,parameter,value,cagr_mean,cagr_std,sharpe_mean,sharpe_std,maxdd_mean,seeds
delta,bandit_delta,0.95,0.10445330048967452,0.010754727952554543,0.9040365779814824,0.074416368635735,-0.1617066816260147,5
delta,bandit_delta,0.97,0.11166398913801556,0.011490467093632295,0.9627131165895262,0.09326399787863485,-0.15236976201414862,5
delta,bandit_delta,0.99,0.10264965270655857,0.0060653532304532,0.892180437043263,0.050682196761275874,-0.16151569916221287,5
delta,bandit_delta,0.995,0.1041786523873928,0.004635677687802472,0.9057830472591007,0.03811210170978787,-0.1591269833100158,5
epsilon,bandit_epsilon,0.05,0.10658586244411813,0.011651552394243552,0.9280676525116774,0.09381595413562788,-0.1469322964686879,5
epsilon,bandit_epsilon,0.1,0.10264965270655857,0.0060653532304532,0.892180437043263,0.050682196761275874,-0.16151569916221287,5
epsilon,bandit_epsilon,0.2,0.10222554326577064,0.007179431234118059,0.8911219771929535,0.05919139854765121,-0.15623610335070318,5
cost,cost_bps,5.0,0.10264965270655857,0.0060653532304532,0.892180437043263,0.050682196761275874,-0.16151569916221287,5
cost,cost_bps,10.0,0.06867754788428684,0.015455420417382161,0.6336955093499024,0.11289223445816875,-0.18471630219762797,5
cost,cost_bps,20.0,0.009183115484587723,0.021643190487038236,0.06715478458056696,0.31918319003374446,-0.21640025856265255,5
